estado,ano,turno,situacao,quantidade,proporcao
Maranhão,2006,1,DEMAIS,5022618,6.405.407.018.503.250
Maranhão,2006,1,VALIDOS,2818598,35.945.929.814.967.400
Maranhão,2006,2,DEMAIS,5146588,6.563.507.496.796.410
Maranhão,2006,2,VALIDOS,2694628,3.436.492.503.203.580
Maranhão,2010,1,DEMAIS,1376969,3.186.876.438.986.950
Maranhão,2010,1,VALIDOS,2943779,6.813.123.561.013.040
Maranhão,2010,2,DEMAIS,1420010,3.286.599.909.040.510
Maranhão,2010,2,VALIDOS,2900595,6.713.400.090.959.480
Maranhão,2014,1,DEMAIS,1350935,3.004.839.559.203.740
Maranhão,2014,1,VALIDOS,3144929,6.995.160.440.796.250
Maranhão,2014,2,DEMAIS,1352624,30.085.702.471.783.700
Maranhão,2014,2,VALIDOS,3143279,6.991.429.752.821.620
Mato Grosso,1989,1,DEMAIS,287697,2.798.685.178.195.510
Mato Grosso,1989,1,VALIDOS,740275,7.201.314.821.804.480
Mato Grosso,1989,2,DEMAIS,287697,2.798.685.178.195.510
Mato Grosso,1989,2,VALIDOS,740275,7.201.314.821.804.480
Mato Grosso,1994,1,DEMAIS,507629,3.968.821.977.698.930
Mato Grosso,1994,1,VALIDOS,771413,6.031.178.022.301.060
Mato Grosso,2002,1,DEMAIS,478641,27.666.757.994.985.000
Mato Grosso,2002,1,VALIDOS,1251381,7.233.324.200.501.490
Mato Grosso,2002,2,DEMAIS,538227,3.111.099.165.212.920
Mato Grosso,2002,2,VALIDOS,1191795,6.888.900.834.787.070
Mato Grosso,2006,1,DEMAIS,2438904,6.284.960.340.571.150
Mato Grosso,2006,1,VALIDOS,1441636,37.150.396.594.288.400
Mato Grosso,2006,2,DEMAIS,2449379,6.311.954.006.401.170
Mato Grosso,2006,2,VALIDOS,1431161,3.688.045.993.598.820
Mato Grosso,2010,1,DEMAIS,557439,26.620.366.832.980.500
Mato Grosso,2010,1,VALIDOS,1536593,7.337.963.316.701.940
Mato Grosso,2010,2,DEMAIS,601453,287.212.436.816.683
Mato Grosso,2010,2,VALIDOS,1492652,7.127.875.631.833.160
Mato Grosso,2014,1,DEMAIS,629496,2.876.666.317.839.140
Mato Grosso,2014,1,VALIDOS,1558787,7.123.333.682.160.850
Mato Grosso,2014,2,DEMAIS,606117,27.697.493.906.356.600
Mato Grosso,2014,2,VALIDOS,1582229,7.230.250.609.364.330
Mato Grosso,1998,1,DEMAIS,608398,4.011.985.880.189.990
Mato Grosso,1998,1,VALIDOS,908053,5.988.014.119.810.000
Minas Gerais,1989,1,DEMAIS,1676211,1.776.945.507.750.730
Minas Gerais,1989,1,VALIDOS,7756892,8.223.054.492.249.260
Minas Gerais,1989,2,DEMAIS,1676211,1.776.945.507.750.730
Minas Gerais,1989,2,VALIDOS,7756892,8.223.054.492.249.260
Minas Gerais,1994,1,DEMAIS,3560892,3.372.140.163.691.540
Minas Gerais,1994,1,VALIDOS,6998847,6.627.859.836.308.450
Minas Gerais,1998,1,DEMAIS,4226386,3.577.080.439.634.320
Minas Gerais,1998,1,VALIDOS,7588797,6.422.919.560.365.670
Minas Gerais,2002,1,DEMAIS,3267453,25.767.370.020.182.000
Minas Gerais,2002,1,VALIDOS,9413131,7.423.262.997.981.790
Minas Gerais,2002,2,DEMAIS,3071934,24.225.493.084.545.600
Minas Gerais,2002,2,VALIDOS,9608650,7.577.450.691.545.430
Minas Gerais,2006,1,DEMAIS,17138903,6.264.338.907.660.360
Minas Gerais,2006,1,VALIDOS,10220573,3.735.661.092.339.630
Minas Gerais,2006,2,DEMAIS,16915831,6.182.805.182.379.950
Minas Gerais,2006,2,VALIDOS,10443645,3.817.194.817.620.040
Minas Gerais,2010,1,DEMAIS,3728346,25.688.045.708.351.700
Minas Gerais,2010,1,VALIDOS,10785588,7.431.195.429.164.820
Minas Gerais,2010,2,DEMAIS,3871694,2.667.537.451.306.870
Minas Gerais,2010,2,VALIDOS,10642419,7.332.462.548.693.120
Minas Gerais,2014,1,DEMAIS,4129695,27.103.822.131.189.800
Minas Gerais,2014,1,VALIDOS,11106883,7.289.617.786.881.010
Minas Gerais,2014,2,DEMAIS,3828856,2.512.851.035.489.100
Minas Gerais,2014,2,VALIDOS,11408243,7.487.148.964.510.890
Pará,1989,1,DEMAIS,661526,30.250.149.530.009.300
Pará,1989,1,VALIDOS,1525326,6.974.985.046.999.060
Pará,1989,2,DEMAIS,661526,30.250.149.530.009.300
Pará,1989,2,VALIDOS,1525326,6.974.985.046.999.060
Pará,1994,1,DEMAIS,1298179,4.664.455.248.423.440
Pará,1994,1,VALIDOS,1484952,5.335.544.751.576.550
Pará,1998,1,DEMAIS,1423940,4.421.105.707.999.740
Pará,1998,1,VALIDOS,1796838,5.578.894.292.000.250
Pará,2002,1,DEMAIS,1036975,29.054.113.119.327.000
Pará,2002,1,VALIDOS,2532141,7.094.588.688.067.290
Pará,2002,2,DEMAIS,1067237,2.990.018.022.975.160
Pará,2002,2,VALIDOS,2502096,700.998.197.702.484
Pará,2006,1,DEMAIS,5164794,6.211.066.842.884.400
Pará,2006,1,VALIDOS,3150676,3.788.933.157.115.590
Pará,2006,2,DEMAIS,5254752,6.319.248.340.743.210
Pará,2006,2,VALIDOS,3060718,3.680.751.659.256.780
Pará,2010,1,DEMAIS,1216851,2.554.566.190.154.790
Pará,2010,1,VALIDOS,3546584,7.445.433.809.845.200
Pará,2010,2,DEMAIS,1395974,29.305.199.817.531.800
Pará,2010,2,VALIDOS,3367597,7.069.480.018.246.810
Pará,2014,1,DEMAIS,1348276,25.998.630.916.225.500
Pará,2014,1,VALIDOS,3837674,7.400.136.908.377.440
Pará,2014,2,DEMAIS,1521732,2.934.290.211.531.700
Pará,2014,2,VALIDOS,3664299,7.065.709.788.468.290
Paraíba,1989,1,DEMAIS,456226,25.974.811.220.797.700
Paraíba,1989,1,VALIDOS,1300191,740.251.887.792.022
Paraíba,1989,2,DEMAIS,456226,25.974.811.220.797.700
Paraíba,1989,2,VALIDOS,1300191,740.251.887.792.022
Paraíba,1994,1,DEMAIS,883098,4.222.306.797.111.740
Paraíba,1994,1,VALIDOS,1208408,5.777.693.202.888.250
Paraíba,1998,1,DEMAIS,1027779,462.284.870.993.438
Paraíba,1998,1,VALIDOS,1195480,537.715.129.006.562
Paraíba,2002,1,DEMAIS,742868,3.199.165.571.378.610
Paraíba,2002,1,VALIDOS,1579200,6.800.834.428.621.380
Paraíba,2002,2,DEMAIS,594638,2.560.812.172.597.870
Paraíba,2002,2,VALIDOS,1727430,7.439.187.827.402.120
Paraíba,2006,1,DEMAIS,3220878,6.257.130.601.616.460
Paraíba,2006,1,VALIDOS,1926654,3.742.869.398.383.530
Paraíba,2006,2,DEMAIS,3176630,6.171.170.961.151.860
Paraíba,2006,2,VALIDOS,1970902,38.288.290.388.481.300
Paraíba,2010,1,DEMAIS,800327,29.227.009.476.272.400
Paraíba,2010,1,VALIDOS,1937986,7.077.299.052.372.750
Paraíba,2010,2,DEMAIS,741079,27.062.590.450.078.400
Paraíba,2010,2,VALIDOS,1997310,7.293.740.954.992.150
Paraíba,2014,1,DEMAIS,736970,2.599.741.355.772.680
Paraíba,2014,1,VALIDOS,2097812,7.400.258.644.227.310
Paraíba,2014,2,DEMAIS,685976,24.197.708.544.982.500
Paraíba,2014,2,VALIDOS,2148904,758.022.914.550.175
Paraná,1989,1,DEMAIS,768402,15.229.071.675.149.900
Paraná,1989,1,VALIDOS,4277224,8.477.092.832.485.000
Paraná,1989,2,DEMAIS,768402,15.229.071.675.149.900
Paraná,1989,2,VALIDOS,4277224,8.477.092.832.485.000
Paraná,1994,1,DEMAIS,1797847,3.128.650.874.626.300
Paraná,1994,1,VALIDOS,3948550,687.134.912.537.369
Paraná,1998,1,DEMAIS,2177302,3.410.448.591.133.430
Paraná,1998,1,VALIDOS,4206908,6.589.551.408.866.560
Paraná,2002,1,DEMAIS,1596152,23.954.085.771.172.300
Paraná,2002,1,VALIDOS,5067229,7.604.591.422.882.760
Paraná,2002,2,DEMAIS,1716756,257.640.378.060.327
Paraná,2002,2,VALIDOS,4946625,742.359.621.939.673
Paraná,2006,1,DEMAIS,8671096,6.088.177.971.950.730
Paraná,2006,1,VALIDOS,5571418,39.118.220.280.492.600
Paraná,2006,2,DEMAIS,8834394,6.202.833.291.931.460
Paraná,2006,2,VALIDOS,5408120,37.971.667.080.685.300
Paraná,2010,1,DEMAIS,1662998,2.188.731.533.131.280
Paraná,2010,1,VALIDOS,5935001,7.811.268.466.868.710
Paraná,2010,2,DEMAIS,1778832,23.411.432.333.254.400
Paraná,2010,2,VALIDOS,5819302,7.658.856.766.674.550
Paraná,2014,1,DEMAIS,1798859,22.882.837.684.105.800
Paraná,2014,1,VALIDOS,6062312,7.711.716.231.589.410
Paraná,2014,2,DEMAIS,1687747,21.468.478.328.341.900
Paraná,2014,2,VALIDOS,6173765,7.853.152.167.165.800
Pernambuco,1989,1,DEMAIS,937315,2.490.115.279.892.390
Pernambuco,1989,1,VALIDOS,2826828,7.509.884.720.107.600
Pernambuco,1989,2,DEMAIS,937315,2.490.115.279.892.390
Pernambuco,1989,2,VALIDOS,2826828,7.509.884.720.107.600
Pernambuco,1994,1,DEMAIS,1900277,42.531.314.151.373.200
Pernambuco,1994,1,VALIDOS,2567671,5.746.868.584.862.670
Pernambuco,1998,1,DEMAIS,2257748,4.410.439.335.039.360
Pernambuco,1998,1,VALIDOS,2861352,5.589.560.664.960.630
Pernambuco,2002,1,DEMAIS,1827345,33.860.621.750.424.800
Pernambuco,2002,1,VALIDOS,3569322,6.613.937.824.957.510
Pernambuco,2002,2,DEMAIS,1543862,2.860.769.434.171.120
Pernambuco,2002,2,VALIDOS,3852805,7.139.230.565.828.870
Pernambuco,2006,1,DEMAIS,7448680,6.383.293.067.183.680
Pernambuco,2006,1,VALIDOS,4220344,36.167.069.328.163.100
Pernambuco,2006,2,DEMAIS,7513966,6.439.241.191.037.050
Pernambuco,2006,2,VALIDOS,4155058,35.607.588.089.629.400
Pernambuco,2010,1,DEMAIS,1804281,2.883.982.690.487.040
Pernambuco,2010,1,VALIDOS,4451932,711.601.730.951.296
Pernambuco,2010,2,DEMAIS,1685196,2.693.562.287.736.810
Pernambuco,2010,2,VALIDOS,4571188,7.306.437.712.263.180
Pernambuco,2014,1,DEMAIS,1544895,24.314.278.928.758.000
